"id","field_id/id","model"
"account.model_account_move","purchase_stock.field_account_move____last_update","account.move"
"","account.field_account_move__access_token",""
"","account.field_account_move__access_url",""
"","account.field_account_move__access_warning",""
"","account.field_account_move__activity_date_deadline",""
"","account.field_account_move__activity_exception_decoration",""
"","account.field_account_move__activity_exception_icon",""
"","account.field_account_move__activity_ids",""
"","account.field_account_move__activity_state",""
"","account.field_account_move__activity_summary",""
"","account.field_account_move__activity_type_icon",""
"","account.field_account_move__activity_type_id",""
"","account.field_account_move__activity_user_id",""
"","account.field_account_move__amount_by_group",""
"","account.field_account_move__amount_residual",""
"","account.field_account_move__amount_residual_signed",""
"","account.field_account_move__amount_tax",""
"","account.field_account_move__amount_tax_signed",""
"","account.field_account_move__amount_total",""
"","account.field_account_move__amount_total_signed",""
"","account.field_account_move__amount_untaxed",""
"","account.field_account_move__amount_untaxed_signed",""
"","payment.field_account_move__authorized_transaction_ids",""
"","account.field_account_move__auto_post",""
"","account.field_account_move__bank_partner_id",""
"","sale.field_account_move__campaign_id",""
"","account.field_account_move__commercial_partner_id",""
"","account.field_account_move__company_currency_id",""
"","account.field_account_move__company_id",""
"","account.field_account_move__country_code",""
"","account.field_account_move__create_date",""
"","account.field_account_move__create_uid",""
"","account.field_account_move__currency_id",""
"","account.field_account_move__date",""
"","purchase_stock.field_account_move__display_name",""
"","account.field_account_move__display_qr_code",""
"","account_edi.field_account_move__edi_document_ids",""
"","account_edi.field_account_move__edi_error_count",""
"","account_edi.field_account_move__edi_show_cancel_button",""
"","account_edi.field_account_move__edi_state",""
"","account_edi.field_account_move__edi_web_services_to_process",""
"","account.field_account_move__fiscal_position_id",""
"","account.field_account_move__has_reconciled_entries",""
"","account.field_account_move__highest_name",""
"","purchase_stock.field_account_move__id",""
"","account.field_account_move__inalterable_hash",""
"","account.field_account_move__invoice_cash_rounding_id",""
"","account.field_account_move__invoice_date",""
"","account.field_account_move__invoice_date_due",""
"","account.field_account_move__invoice_filter_type_domain",""
"","account.field_account_move__invoice_has_matching_suspense_amount",""
"","account.field_account_move__invoice_has_outstanding",""
"","account.field_account_move__invoice_incoterm_id",""
"","account.field_account_move__invoice_line_ids",""
"","account.field_account_move__invoice_origin",""
"","account.field_account_move__invoice_outstanding_credits_debits_widget",""
"","account.field_account_move__invoice_partner_display_name",""
"","account.field_account_move__invoice_payment_term_id",""
"","account.field_account_move__invoice_payments_widget",""
"","account.field_account_move__invoice_source_email",""
"","account.field_account_move__invoice_user_id",""
"","account.field_account_move__invoice_vendor_bill_id",""
"","account.field_account_move__is_move_sent",""
"","account.field_account_move__journal_id",""
"","account.field_account_move__line_ids",""
"","sale.field_account_move__medium_id",""
"","account.field_account_move__message_attachment_count",""
"","account.field_account_move__message_channel_ids",""
"","account.field_account_move__message_follower_ids",""
"","account.field_account_move__message_has_error",""
"","account.field_account_move__message_has_error_counter",""
"","account.field_account_move__message_has_sms_error",""
"","account.field_account_move__message_ids",""
"","account.field_account_move__message_is_follower",""
"","account.field_account_move__message_main_attachment_id",""
"","account.field_account_move__message_needaction",""
"","account.field_account_move__message_needaction_counter",""
"","account.field_account_move__message_partner_ids",""
"","account.field_account_move__message_unread",""
"","account.field_account_move__message_unread_counter",""
"","account.field_account_move__move_type",""
"","account.field_account_move__my_activity_date_deadline",""
"","account.field_account_move__name",""
"","account.field_account_move__narration",""
"","account.field_account_move__partner_bank_id",""
"","account.field_account_move__partner_id",""
"","sale.field_account_move__partner_shipping_id",""
"","account.field_account_move__payment_id",""
"","account.field_account_move__payment_reference",""
"","account.field_account_move__payment_state",""
"","account.field_account_move__posted_before",""
"","purchase.field_account_move__purchase_id",""
"","purchase.field_account_move__purchase_vendor_bill_id",""
"","account.field_account_move__qr_code_method",""
"","account.field_account_move__ref",""
"","account.field_account_move__restrict_mode_hash_table",""
"","account.field_account_move__reversal_move_id",""
"","account.field_account_move__reversed_entry_id",""
"","account.field_account_move__secure_sequence_number",""
"","account.field_account_move__sequence_number",""
"","account.field_account_move__sequence_prefix",""
"","account.field_account_move__show_name_warning",""
"","account.field_account_move__show_reset_to_draft_button",""
"","sale.field_account_move__source_id",""
"","account.field_account_move__state",""
"","account.field_account_move__statement_line_id",""
"","stock_account.field_account_move__stock_move_id",""
"","stock_account.field_account_move__stock_valuation_layer_ids",""
"","account.field_account_move__string_to_hash",""
"","account.field_account_move__suitable_journal_ids",""
"","account.field_account_move__tax_cash_basis_move_id",""
"","account.field_account_move__tax_cash_basis_rec_id",""
"","account.field_account_move__tax_lock_date_message",""
"","sale.field_account_move__team_id",""
"","account.field_account_move__to_check",""
"","payment.field_account_move__transaction_ids",""
"","account.field_account_move__type_name",""
"","account.field_account_move__user_id",""
"","account.field_account_move__website_message_ids",""
"","account.field_account_move__write_date",""
"","account.field_account_move__write_uid",""
"","init.6cd59142-1af4-4bf6-9ab8-3c05f26819ce",""
